variables,units,values,description
floating.member_Y_pontoon_upper3:outer_diameter,m,[0.91179558 0.79503069],
floating.member_Y_pontoon_upper3:grid_axial_joints,,[],
floating.member_Y_pontoon_lower1:s,,[0. 1.],
floating.member_Y_pontoon_lower1:outer_diameter,m,[9.6148 9.6148],
floating.member_Y_pontoon_lower1:grid_axial_joints,,[],
floating.member_Y_pontoon_lower2:s,,[0. 1.],
floating.member_Y_pontoon_lower2:outer_diameter,m,[9.6148 9.6148],
floating.member_Y_pontoon_lower2:grid_axial_joints,,[],
floating.member_Y_pontoon_lower3:s,,[0. 1.],
floating.member_Y_pontoon_lower3:outer_diameter,m,[9.6148 9.6148],
floating.member_Y_pontoon_lower3:grid_axial_joints,,[],
mooring.unstretched_length_in,m,[850.],
mooring.line_diameter_in,m,[0.185],
mooring.line_mass_density_coeff,kg/m**3,[0. 0. 0.],
mooring.line_stiffness_coeff,N/m**2,[0. 0. 0.],
mooring.line_breaking_load_coeff,N/m**2,[0. 0. 0.],
mooring.line_cost_rate_coeff,USD/m**3,[0. 0. 0.],
mooring.line_transverse_added_mass_coeff,kg/m**3,[29.2184076 29.2184076 29.2184076],
mooring.line_tangential_added_mass_coeff,kg/m**3,[0. 0. 0.],
mooring.line_transverse_drag_coeff,N/m**2,[46.74945215 46.74945215 46.74945215],
mooring.line_tangential_drag_coeff,N/m**2,[2.92184076 2.92184076 2.92184076],
mooring.nodes_location,m,"[[-8.37600000e+02  3.00681064e-06 -2.00000000e+02]
 [ 4.18799965e+02  7.25382899e+02 -2.00000000e+02]
 [ 4.18799965e+02 -7.25382899e+02 -2.00000000e+02]
 [-5.29209837e+01  1.89975379e-07 -1.40010000e+01]
 [ 2.64604904e+01  4.58309171e+01 -1.40010000e+01]
 [ 2.64604896e+01 -4.58309176e+01 -1.40010000e+01]]",
mooring.joints_xyz,m,"[[ 0.00000000e+00  0.00000000e+00 -2.00000000e+01]
 [ 0.00000000e+00  0.00000000e+00  1.50000000e+01]
 [-5.29209837e+01  1.89975379e-07 -2.00000000e+01]
 [-5.29209837e+01  1.89975379e-07  1.50000000e+01]
 [ 2.64604896e+01  4.58309176e+01 -2.00000000e+01]
 [ 2.64604942e+01  4.58309149e+01  1.50000000e+01]
 [ 2.64604896e+01 -4.58309176e+01 -2.00000000e+01]
 [ 2.64604896e+01 -4.58309176e+01  1.50000000e+01]
 [-8.37600000e+02  3.00681064e-06 -2.00000000e+02]
 [ 4.18799965e+02  7.25382899e+02 -2.00000000e+02]
 [ 4.18799965e+02 -7.25382899e+02 -2.00000000e+02]
 [ 0.00000000e+00  0.00000000e+00  1.45450000e+01]
 [ 0.00000000e+00  0.00000000e+00 -1.65000000e+01]
 [-5.29209837e+01  1.89975379e-07  1.45450000e+01]
 [-5.29209837e+01  1.89975379e-07 -1.65000000e+01]
 [-5.29209837e+01  1.89975379e-07 -1.40010000e+01]
 [ 2.64604942e+01  4.58309150e+01  1.45450000e+01]
 [ 2.64604901e+01  4.58309173e+01 -1.65000000e+01]
 [ 2.64604904e+01  4.58309171e+01 -1.40010000e+01]
 [ 2.64604896e+01 -4.58309176e+01  1.45450000e+01]
 [ 2.64604896e+01 -4.58309176e+01 -1.65000000e+01]
 [ 2.64604896e+01 -4.58309176e+01 -1.40010000e+01]]",
mooring.nodes_joint_name,Unavailable,"['anchor1', 'anchor2', 'anchor3', 'col1_fairlead', 'col2_fairlead', 'col3_fairlead']",
