variables,units,values,description
tower_grid.ref_axis,m,"[[ 0.  0. 10.]
 [ 0.  0. 18.]
 [ 0.  0. 26.]
 [ 0.  0. 34.]
 [ 0.  0. 42.]
 [ 0.  0. 50.]
 [ 0.  0. 58.]
 [ 0.  0. 66.]
 [ 0.  0. 74.]
 [ 0.  0. 82.]
 [ 0.  0. 90.]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
floatingse.member0.s,,[0.      0.38462 0.4     0.8308  0.8923  1.     ],
floatingse.member0.joint1,m,[   0.    0. -120.],
floatingse.member0.joint2,m,[ 0.          0.         -2.57827612],
floatingse.member0.layer_thickness,m,[[0.08 0.08 0.08 0.08 0.08 0.08]],
floatingse.member0.outer_diameter_in,m,[9.4 9.4 9.4 9.4 6.5 6.5],
floatingse.E_mat,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [4.180e+10 1.400e+10 2.630e+09]
 [2.770e+10 1.365e+10 7.200e+09]
 [1.360e+10 1.330e+10 1.180e+10]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [9.846e+07 9.846e+07 9.846e+07]
 [1.145e+11 8.390e+09 5.990e+09]
 [1.000e+06 1.000e+06 1.000e+06]
 [1.000e+00 1.000e+00 1.000e+00]]",
floatingse.G_mat,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [2.63000000e+09 2.63000000e+09 2.63000000e+09]
 [7.20000000e+09 7.20000000e+09 7.20000000e+09]
 [1.18000000e+10 1.18000000e+10 1.18000000e+10]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [9.84600000e+07 9.84600000e+07 9.84600000e+07]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [3.84615385e+05 3.84615385e+05 3.84615385e+05]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00]]",
floatingse.sigma_y_mat,Pa,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00
 0.00e+00 0.00e+00 0.00e+00]",
floatingse.rho_mat,kg/m**3,[1235. 1920. 1850. 1780. 7800. 7850. 7200.  200. 1220. 1150. 5000.],
floatingse.unit_cost_mat,USD/kg,[ 7.23  1.87  2.86  3.    0.7   0.9   0.5  13.   30.    3.63  1.  ],
floatingse.member0.outfitting_factor_in,,[1.],
floatingse.rho_water,kg/m**3,[1025.],
floatingse.member0.layer_materials,Unavailable,['steel'],
floatingse.member0.ballast_materials,Unavailable,"['slurry', 'seawater']",
floatingse.material_names,Unavailable,"['Gelcoat', 'glassUD', 'glassTri', 'glassDB', 'steel', 'steel_drive', 'cast_iron', 'FOAM', 'CarbonUD', 'resin', 'slurry']",
floatingse.member0.gc.d,m,[9.4 9.4 9.4 9.4 6.5 6.5],
floatingse.member0.gc.t,m,[0.08 0.08 0.08 0.08 0.08],
floatingse.member0.height,m,[117.42172388],
floatingse.member0.outer_diameter,m,[9.4 9.4 9.4 9.4 6.5 6.5],
floatingse.member0.wall_thickness,m,[0.08 0.08 0.08 0.08 0.08],
floatingse.member0.E,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
floatingse.member0.G,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
floatingse.member0.sigma_y,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
floatingse.member0.rho,kg/m**3,[7800. 7800. 7800. 7800. 7800.],
floatingse.member0.unit_cost,USD/kg,[0.7 0.7 0.7 0.7 0.7],
floatingse.member0.outfitting_factor,,[1. 1. 1. 1. 1.],
floatingse.member0.s_full,m,[0.      0.38462 0.4     0.8308  0.8923  1.     ],
floatingse.member0.z_full,m,"[  0.          45.16274344  46.96868955  97.5539682  104.77540421
 117.42172388]",
floatingse.member0.d_full,m,[9.4 9.4 9.4 9.4 6.5 6.5],
floatingse.member0.t_full,m,[0.08 0.08 0.08 0.08 0.08],
floatingse.member0.E_full,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
floatingse.member0.G_full,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
floatingse.member0.rho_full,kg/m**3,[7800. 7800. 7800. 7800. 7800.],
floatingse.member0.sigma_y_full,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
floatingse.member0.unit_cost_full,USD/kg,[0.7 0.7 0.7 0.7 0.7],
floatingse.member0.outfitting_full,,[1. 1. 1. 1. 1.],
floatingse.labor_cost_rate,USD/min,[0.98],
floatingse.painting_cost_rate,USD/m**2,[30.],
floatingse.member0.grid_axial_joints,,[0.38462],
floatingse.member0.bulkhead_grid,,[0.     0.1    0.5    0.8308 1.    ],
floatingse.member0.bulkhead_thickness,m,[0.1  0.05 0.05 0.05 0.05],
floatingse.member0.ring_stiffener_web_height,m,[0.],
floatingse.member0.ring_stiffener_web_thickness,m,[0.],
floatingse.member0.ring_stiffener_flange_width,m,[0.],
floatingse.member0.ring_stiffener_flange_thickness,m,[0.],
floatingse.member0.ring_stiffener_spacing,m,[0.],
floatingse.member0.axial_stiffener_web_height,m,[0.],
floatingse.member0.axial_stiffener_web_thickness,m,[0.],
floatingse.member0.axial_stiffener_flange_width,m,[0.],
floatingse.member0.axial_stiffener_flange_thickness,m,[0.],
floatingse.member0.axial_stiffener_spacing,rad,[0.],
floatingse.member0.ballast_grid,,"[[0.  0.4]
 [0.4 1. ]]",
